7zip 26.03-1
egl-wayland 4:1.1.22-1
egl-wayland2 1.0.2-1
egl-x11 1.0.6-1
eglexternalplatform 1.2.1-1
electron43 43.7.3-1
elfutils 0.196-1
emacs 31.1-2
enchant 2.8.21-1
exiv2 0.28.9-1
exo 4.20.0-2
expat 2.8.4-1
fakeroot 1:1.37.2-3
fastfetch 2.68.1-1
fd 10.5.0-3
ffmpeg 2:9.0.1-4
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
flac 1.5.0-1
flatpak 1:1.18.2-1
flex 2.6.4-6
fmt 12.2.0-1
fontconfig 2:2.18.3-2
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.3-1
fuse3 3.18.3-1
fzf 0.74.4-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gcr 3.41.2-2
gcr-4 4.4.1-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
giflib 6.1.3-2
git 2.55.0-1
github-cli 2.101.0-1
glew 2.3.1-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glibmm 2.66.10-1
glibmm-2.68 2.88.1-1
glslang 1:1.4.357.0-1
glu 9.0.3-3
glycin 2.1.5-2
glycin-gtk4 2.1.5-2
gmp 6.3.0-3
gnome-desktop 1:44.5-1
gnome-desktop-common 1:44.5-1
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-3
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.2.0-1
gpgmepp 2.2.0-1
gpm 1.20.7.r38.ge82d1a6-7
gpsd 3.27.5-1
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gssdp 1.6.6-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad-libs 1.28.7-1
gst-plugins-base-libs 1.28.7-1
gstreamer 1.28.7-1
gtest 1.18.0-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.5-1
gtk3 1:3.24.52-1
gtk4 1:4.22.5-1
gtkmm-4.0 4.22.0-2
gtkmm3 3.24.11-1
gtksourceview5 5.20.0-1
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 14.4.0-1
harfbuzz-icu 14.4.0-1
hdf5 2.2.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hwdata 0.411-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hyprland 0.56.2-3
hyprland-guiutils 0.2.2-3
hyprland-qt-support 0.1.0-14
hyprlang 0.6.8-5
hyprpaper 0.8.4-8
hyprpolkitagent 0.1.3-10
hyprtoolkit 0.5.4-6
hyprutils 0.14.2-1
hyprwire 0.3.1-3
iana-etc 20260617-1
icu 78.3-1
imath 3.2.3-1
iniparser 4.3.0-1
intel-ucode 20260812-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
jansson 2.15.1-1
jbigkit 2.1-8
jemalloc 1:5.4.0-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.8-1
karchive 6.30.0-1
kbd 2.10.0-1
kbookmarks 6.30.0-1
kcmutils 6.30.0-1
kcodecs 6.30.0-1
kcolorscheme 6.30.0-1
kcompletion 6.30.0-1
kconfig 6.30.0-1
kconfigwidgets 6.30.0-1
kcoreaddons 6.30.0-1
kcrash 6.30.0-1
kdbusaddons 6.30.0-1
kdnssd 6.30.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keyutils 1.6.3-4
kfilemetadata 6.30.0-1
kglobalaccel 6.30.0-1
kguiaddons 6.30.0-1
ki18n 6.30.0-1
kiconthemes 6.30.0-1
kidletime 6.30.0-1
kio 6.30.0-1
kio-extras 26.08.1-1
kirigami 6.30.0-1
kitemviews 6.30.0-1
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kjobwidgets 6.30.0-1
kmod 34.2-1
knewstuff 6.30.0-1
knotifications 6.30.0-1
kpackage 6.30.0-1
kparts 6.30.0-1
krb5 1.22.2-1
kservice 6.30.0-1
